checkpoint_date,checkpoint_time,uav_drones,shahed,orlan,orion,lancet,merlin,granat_4,zala,mohajer_6,missiles,ballistic_missiles,missile_kh_31p,cruise_missiles,kh_59_missile,kalibr_missile,kinzhal_missile,iskander_m_missile,iskander_k_missile,fighter_su_30_cm,fighter_su_34,fighter_su_35,fighter_su_24m,fighter_su_25,helicopter,helicopter_k_52,helicopter_mi_8,plane_a_50,plane_il_22
2023-01-01,07:00:00,,45,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,07:00:00,,39,2,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-01-04,16:00:00,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,
2023-01-05,10:00:00,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
2023-01-08,14:00:00,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-01-08,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
2023-01-12,09:00:00,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
2023-01-14,18:30:00,,,,,,,,,,,,,,7,18,,,,,,,,,,,,,
2023-01-17,15:20:00,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2023-01-18,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-01-20,18:00:00,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,16:00:00,,,1,,,,,,,,,,,2,,,,,,,,,2,,1,,,
2023-01-24,00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
2023-01-24,13:00:00,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-01-25,12:00:00,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
2023-01-25,16:00:00,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-01-26,04:00:00,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-26,10:45:00,,,,,,,,,,,,,47,,,,,,,,,,,,,,,
2023-01-27,13:30:00,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2023-02-02,08:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03,03:00:00,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07,10:00:00,,15,,,,,,,,,,,26,,3,,,,,,,,,,,,,
2023-02-09,15:00:00,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10,05:00:00,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,
2023-02-10,11:30:00,,5,,,,,,,,,,,,,61,,,,,,,,,,,,,
2023-02-10,23:55:00,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,21:30:00,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-13,12:00:00,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
2023-02-15,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-02-16,07:00:00,,,,,,,,,,,,,,2,14,,,,,,,,,,,,,
2023-02-18,10:00:00,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
2023-02-27,04:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,00:30:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-03,13:30:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2023-03-06,08:00:00,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-08,00:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-09,09:00:00,,4,,,,,,,,,,,,,34,,,,,,,,,,,,,
2023-03-09,08:00:00,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-18,01:30:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-21,19:45:00,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-03-22,04:00:00,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,23:50:00,,12,,,,,1,,,,,,,,,,,,,,,,,,,,,
2023-03-29,01:30:00,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2023-03-31,01:30:00,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04,03:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-18,22:00:00,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-19,03:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-20,00:20:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21,03:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21,23:50:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,18:00:00,1,6,,,2,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26,18:00:00,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
2023-04-28,06:00:00,2,,,,,,,,,,,,21,,,,,,,,,,,,,,,
2023-04-29,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
2023-05-03,06:00:00,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-03,17:00:00,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
2023-05-04,06:00:00,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-04,02:30:00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2023-05-05,08:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-06,08:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-06,18:00:00,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,22:00:00,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
2023-05-09,04:00:00,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
2023-05-09,23:50:00,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12,23:00:00,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
2023-05-13,06:00:00,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-14,07:00:00,4,18,2,,1,,,,,,,,3,,,,,,,,,,,,,,,
2023-05-14,23:50:00,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-16,07:00:00,3,6,,,,,,,,,3,,,,9,6,,,,,,,,,,,,
2023-05-18,05:30:00,2,2,,,,,,,,,,,21,,6,,,2,,,,,,,,,,
2023-05-19,06:00:00,,16,,,,,,,,,,,,,3,,,,,,,,,,,,,
2023-05-20,06:00:00,,20,,,,1,,,,,,,,,,,,,,,,,,,,,,
2023-05-20,23:59:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,06:00:00,,20,,,,,,,,,,,4,,,,,,,,1,,,,,,,
2023-05-23,06:00:00,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,
2023-05-25,07:00:00,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-26,07:00:00,2,23,,,,,,,,,,,10,,,,,,,,,,,,,,,
2023-05-28,07:00:00,,52,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-29,05:00:00,1,29,,,,,,,,,,,37,,,,,,,,,,,,,,,
2023-05-29,12:00:00,,,,,,,,,,11,,,,,,,,,,,,,,,,,,
2023-05-30,07:00:00,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01,06:00:00,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,
2023-06-02,07:00:00,,21,,,,,,,,,,,15,,,,,,,,,,,,,,,
2023-06-04,07:00:00,,3,,,,,,,,,,,4,,,,,,,,,,,,,,,
2023-06-06,04:00:00,,,,,,,,,,,,,35,,,,,,,,,,,,,,,
2023-06-09,07:00:00,4,10,,,,,,,,,,,4,,,,,,,,,,,,,,,
2023-06-10,07:00:00,12,20,,,,,,,,,,,2,,,,,,,,,,,,,,,
2023-06-11,09:00:00,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-13,08:00:00,,1,,,,,,,,,,,11,,,,,,,,,,,,,,,
2023-06-14,08:00:00,,9,,,,,,,,,,,,,3,,,,,,,,,,,,,
2023-06-15,06:00:00,,20,1,,,,,,,,,,1,,,,,,,,,,,,,,,
2023-06-16,07:00:00,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16,12:00:00,2,,,,,,,,,,,,,,6,6,,,,,,,,,,,,
2023-06-16,21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-06-18,07:00:00,7,4,,,1,,,,,,,,,,,,,,,,,,,,2,,,
2023-06-18,19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-06-19,07:00:00,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,
2023-06-19,23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-06-20,07:00:00,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-21,07:00:00,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-21,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2023-06-22,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-23,06:00:00,1,,,,,,,,,,,,13,,,,,,,,,,,,,,,
2023-06-23,05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-06-24,07:00:00,,2,,,,,,,,,,,40,,1,,,,,,,,,,,,,
2023-06-26,07:00:00,4,7,,,,,,,,,,,,,2,,,,,,,,,,,,,
2023-06-28,07:00:00,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,07:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-02,09:00:00,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,
2023-07-03,08:00:00,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,08:00:00,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
2023-07-07,07:00:00,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-08,07:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-10,23:00:00,4,,,,3,,,,,,,,,,,,,,,,,,,1,,,,
2023-07-11,07:00:00,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-12,07:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-13,07:00:00,,20,,,,,,,,,,,,,2,,,,,,,,,,,,,
2023-07-14,07:00:00,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-15,08:00:00,3,4,,,3,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18,07:00:00,1,31,,,,,,,,,,,,,6,,,,,,,,,,,,,
2023-07-19,08:00:00,,23,,,,,,,,,,,,1,13,,,,,,,,,,,,,
2023-07-20,08:00:00,,13,,,,,,,,,,,,,2,,,3,,,,,,,,,,
2023-07-22,08:00:00,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-23,09:00:00,,,,,,,,,,,,,,,4,,,5,,,,,,,,,,
2023-07-26,16:00:00,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
2023-07-26,21:00:00,,,,,,,,,,,,,33,,3,,,,,,,,,,,,,
2023-07-27,08:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-30,07:00:00,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02,08:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-03,08:00:00,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-06,07:00:00,,27,,,,,,,,,,,13,,17,,,,,,,,,,,,,
2023-08-10,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2023-08-12,07:00:00,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-14,07:00:00,,15,,,,,,,,,,,,,8,,,,,,,,,1,,,,
2023-08-14,05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-08-15,07:00:00,,,,,,,,,,,,,,,16,,,,,,,,,,,,,
2023-08-16,08:00:00,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-17,06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023-08-19,07:00:00,6,15,,,1,,,,,,,,,,,,,,,,,,,,,,,
2023-08-23,07:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-25,07:00:00,,1,,,,,,,,,,,,2,2,,,,,,,,,,,,,
2023-08-26,08:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-27,00:00:00,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,
2023-08-27,08:00:00,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
2023-08-27,00:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-28,07:00:00,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,
2023-08-30,07:00:00,,15,,,,,,,,,,,28,,,,,,,,,,,,,,,
2023-09-01,07:00:00,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2023-09-03,07:00:00,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,08:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,07:00:00,,15,,,,,,,,,,,7,,,,1,,,,,,,,,,,
2023-09-07,07:00:00,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,07:00:00,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-10,08:00:00,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,08:00:00,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,08:00:00,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,07:00:00,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-15,08:00:00,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-17,08:00:00,,6,,,,,,,,,,,6,,,,,,,,,,,,,,,
2023-09-18,08:00:00,,18,,,,,,,,,,,17,,,,,,,,,,,,,,,
2023-09-19,08:00:00,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20,08:00:00,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-21,08:00:00,,,,,,,,,,,,,36,,,,,,,,,,,,,,,
2023-09-23,08:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-25,07:00:00,4,19,,,3,,,,,,,,,,11,,,,,,,,,,,,,
2023-09-26,08:00:00,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,08:00:00,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,08:00:00,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-01,08:00:00,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,08:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-03,08:00:00,,29,,,,,,,,,,,1,,,,,,,,,,,,,,,
2023-10-05,08:00:00,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-06,08:00:00,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-10,08:00:00,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12,06:00:00,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16,08:00:00,,11,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-10-17,07:00:00,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-10-19,08:00:00,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-10-22,08:00:00,,3,,,3,,,,,,,,,1,,,,,,,,,,,,,,
2023-10-23,08:00:00,1,13,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-10-24,08:00:00,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-25,08:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-27,08:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-27,17:00:00,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,
2023-10-28,08:00:00,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2023-10-29,07:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-30,07:00:00,,12,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-10-31,17:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,07:00:00,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-01,11:00:00,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-11-01,11:00:00,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2023-11-03,07:00:00,,24,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-04,07:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-04,19:00:00,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2023-11-06,07:00:00,,15,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-10,08:00:00,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-11,07:00:00,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-11,09:00:00,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2023-11-13,17:00:00,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,
2023-11-14,07:00:00,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-16,09:00:00,,16,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-17,07:00:00,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-18,08:00:00,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-19,08:00:00,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-21,08:00:00,,9,,,,,,,,,,,,,,,,1,,,,,,,,,,
2023-11-22,07:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-24,07:00:00,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-25,09:00:00,,71,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-11-25,11:00:00,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-26,07:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28,09:00:00,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-29,07:00:00,,21,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-11-30,07:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,07:00:00,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-12-02,07:00:00,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-12-03,07:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04,07:00:00,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-12-05,07:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-05,18:00:00,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2023-12-06,07:00:00,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-07,07:00:00,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-08,07:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-08,09:00:00,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
2023-12-11,06:00:00,,18,,,,,,,,,8,,,,,,,,,,,,,,,,,
2023-12-12,06:00:00,,9,,,,,,,,,,,,2,,,,,,,,,,,,,,
2023-12-13,06:00:00,,10,,,,,,,,,10,,,,,,,,,,,,,,,,,
2023-12-14,07:00:00,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-14,16:00:00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2023-12-15,07:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-16,07:00:00,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-17,07:00:00,,20,,,,,,,,,,,,1,,,,,,,,,,,,,,
2023-12-18,06:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-19,07:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-20,07:00:00,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-21,06:00:00,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-22,07:00:00,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-23,06:00:00,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-24,07:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-24,21:00:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2023-12-25,07:00:00,,28,,,,,,,,,,1,,1,,,,,1,1,,,,,,,,
2023-12-26,07:00:00,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-27,07:00:00,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-28,07:00:00,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-29,10:00:00,,27,,,,,,,,,,,87,,,,,,,,,,,,,,,
2023-12-30,09:00:00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,07:00:00,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,08:00:00,,87,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,19:00:00,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,
2024-01-02,06:00:00,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,11:00:00,,,,,,,,,,,,,59,,3,10,,,,,,,,,,,,
2024-01-04,08:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-05,11:00:00,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-06,08:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-07,07:00:00,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,11:00:00,,8,,,,,,,,,,,18,,,,,,,,,,,,,,,
2024-01-13,11:00:00,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,
2024-01-14,22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2024-01-17,07:00:00,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-18,07:00:00,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-20,08:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22,06:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-23,09:00:00,,,,,,,,,,,,,15,1,,,5,,,,,,,,,,,
2024-01-25,06:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-27,07:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-28,06:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29,07:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-30,07:00:00,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,06:00:00,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,07:00:00,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-08,07:00:00,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-09,07:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-10,07:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-11,07:00:00,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-12,06:00:00,,14,,,,,,,,,,,,1,,,,,,,,,,,,,,
2024-02-13,06:00:00,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,09:00:00,,,,,,,,,,,,,8,2,2,,1,,,,,,,,,,,
2024-02-18,07:00:00,,12,,,,,,,,,,,,1,,,,,,1,,,,,,,,
2024-02-19,07:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-19,10:00:00,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
2024-02-20,07:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-21,07:00:00,,13,,,,,,,,,,,,1,,,,,,,,,,,,,,
2024-02-21,07:30:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024-02-22,07:00:00,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-23,07:00:00,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-23,19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024-02-24,07:00:00,,12,,,,,,,,,,,,2,,,,,,,,,,,,,,
2024-02-25,08:00:00,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-26,07:00:00,,9,,,,,,,,,,,,3,,,,,,,,,,,,,,
2024-02-27,07:00:00,,11,,,,,,,,,,,,2,,,,,,,,,,,,,,
2024-02-27,10:00:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024-02-27,14:00:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024-02-28,07:00:00,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-29,01:00:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024-02-29,09:00:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024-03-01,08:00:00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02,08:00:00,,14,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024-03-02,18:00:00,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2024-03-05,06:00:00,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-06,07:00:00,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-08,07:00:00,,33,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-10,07:00:00,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
